file_path,label
balanced_train\Cardboard\cardboard100_1052.jpg,Cardboard
balanced_train\Cardboard\cardboard101_313.jpg,Cardboard
balanced_train\Cardboard\cardboard101_797.jpg,Cardboard
balanced_train\Cardboard\cardboard102_1040.jpg,Cardboard
balanced_train\Cardboard\cardboard102_114.jpg,Cardboard
balanced_train\Cardboard\cardboard102_978.jpg,Cardboard
balanced_train\Cardboard\cardboard103_949.jpg,Cardboard
balanced_train\Cardboard\cardboard103_995.jpg,Cardboard
balanced_train\Cardboard\cardboard104_265.jpg,Cardboard
balanced_train\Cardboard\cardboard104_329.jpg,Cardboard
balanced_train\Cardboard\cardboard106_962.jpg,Cardboard
balanced_train\Cardboard\cardboard107_536.jpg,Cardboard
balanced_train\Cardboard\cardboard107_831.jpg,Cardboard
balanced_train\Cardboard\cardboard107_851.jpg,Cardboard
balanced_train\Cardboard\cardboard108_1028.jpg,Cardboard
balanced_train\Cardboard\cardboard108_271.jpg,Cardboard
balanced_train\Cardboard\cardboard108_606.jpg,Cardboard
balanced_train\Cardboard\cardboard109_1044.jpg,Cardboard
balanced_train\Cardboard\cardboard109_179.jpg,Cardboard
balanced_train\Cardboard\cardboard109_438.jpg,Cardboard
balanced_train\Cardboard\cardboard110_684.jpg,Cardboard
balanced_train\Cardboard\cardboard111_39.jpg,Cardboard
balanced_train\Cardboard\cardboard111_590.jpg,Cardboard
balanced_train\Cardboard\cardboard112_621.jpg,Cardboard
balanced_train\Cardboard\cardboard112_726.jpg,Cardboard
balanced_train\Cardboard\cardboard112_838.jpg,Cardboard
balanced_train\Cardboard\cardboard113_200.jpg,Cardboard
balanced_train\Cardboard\cardboard113_231.jpg,Cardboard
balanced_train\Cardboard\cardboard115_118.jpg,Cardboard
balanced_train\Cardboard\cardboard116_173.jpg,Cardboard
balanced_train\Cardboard\cardboard116_525.jpg,Cardboard
balanced_train\Cardboard\cardboard118_147.jpg,Cardboard
balanced_train\Cardboard\cardboard119_178.jpg,Cardboard
balanced_train\Cardboard\cardboard11_1118.jpg,Cardboard
balanced_train\Cardboard\cardboard11_547.jpg,Cardboard
balanced_train\Cardboard\cardboard120_454.jpg,Cardboard
balanced_train\Cardboard\cardboard120_980.jpg,Cardboard
balanced_train\Cardboard\cardboard121_406.jpg,Cardboard
balanced_train\Cardboard\cardboard122_524.jpg,Cardboard
balanced_train\Cardboard\cardboard123_458.jpg,Cardboard
balanced_train\Cardboard\cardboard124_390.jpg,Cardboard
balanced_train\Cardboard\cardboard125_18.jpg,Cardboard
balanced_train\Cardboard\cardboard128_184.jpg,Cardboard
balanced_train\Cardboard\cardboard128_298.jpg,Cardboard
balanced_train\Cardboard\cardboard128_954.jpg,Cardboard
balanced_train\Cardboard\cardboard130_288.jpg,Cardboard
balanced_train\Cardboard\cardboard130_294.jpg,Cardboard
balanced_train\Cardboard\cardboard130_445.jpg,Cardboard
balanced_train\Cardboard\cardboard130_629.jpg,Cardboard
balanced_train\Cardboard\cardboard131_578.jpg,Cardboard
balanced_train\Cardboard\cardboard131_721.jpg,Cardboard
balanced_train\Cardboard\cardboard131_81.jpg,Cardboard
balanced_train\Cardboard\cardboard132_497.jpg,Cardboard
balanced_train\Cardboard\cardboard133_1077.jpg,Cardboard
balanced_train\Cardboard\cardboard133_213.jpg,Cardboard
balanced_train\Cardboard\cardboard133_558.jpg,Cardboard
balanced_train\Cardboard\cardboard134_559.jpg,Cardboard
balanced_train\Cardboard\cardboard135_119.jpg,Cardboard
balanced_train\Cardboard\cardboard135_366.jpg,Cardboard
balanced_train\Cardboard\cardboard137_444.jpg,Cardboard
balanced_train\Cardboard\cardboard138_816.jpg,Cardboard
balanced_train\Cardboard\cardboard138_889.jpg,Cardboard
balanced_train\Cardboard\cardboard139_1152.jpg,Cardboard
balanced_train\Cardboard\cardboard139_642.jpg,Cardboard
balanced_train\Cardboard\cardboard141_199.jpg,Cardboard
balanced_train\Cardboard\cardboard141_364.jpg,Cardboard
balanced_train\Cardboard\cardboard141_825.jpg,Cardboard
balanced_train\Cardboard\cardboard142_95.jpg,Cardboard
balanced_train\Cardboard\cardboard143_1005.jpg,Cardboard
balanced_train\Cardboard\cardboard143_15.jpg,Cardboard
balanced_train\Cardboard\cardboard143_755.jpg,Cardboard
balanced_train\Cardboard\cardboard144_350.jpg,Cardboard
balanced_train\Cardboard\cardboard144_651.jpg,Cardboard
balanced_train\Cardboard\cardboard145_520.jpg,Cardboard
balanced_train\Cardboard\cardboard145_905.jpg,Cardboard
balanced_train\Cardboard\cardboard147_226.jpg,Cardboard
balanced_train\Cardboard\cardboard147_99.jpg,Cardboard
balanced_train\Cardboard\cardboard148_365.jpg,Cardboard
balanced_train\Cardboard\cardboard149_1133.jpg,Cardboard
balanced_train\Cardboard\cardboard14_291.jpg,Cardboard
balanced_train\Cardboard\cardboard14_665.jpg,Cardboard
balanced_train\Cardboard\cardboard150_898.jpg,Cardboard
balanced_train\Cardboard\cardboard151_782.jpg,Cardboard
balanced_train\Cardboard\cardboard153_763.jpg,Cardboard
balanced_train\Cardboard\cardboard154_259.jpg,Cardboard
balanced_train\Cardboard\cardboard154_532.jpg,Cardboard
